stage_id,phase,dataset,method,fusion_mode,regime,seed_id,init_seed,sampler_seed,worker_seed,augmentation_seed,corruption_seed,epochs,lr,batch_size,config,config_sha256,output_dir,resume_stage_id,resume,checkpoint_for_eval,endpoint_role,claim_bearing,descriptive_single_seed,split_protocol,evidence_version
M3-021,main,potsdam,fixed_late,fixed_average,robust,101,10111,10122,10133,10144,10155,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-021_potsdam_fixed_late_robust.yaml,859488A25A5402CCC99C494E1AE857F4EC7E3A0E4CAFBA1A84BE0CEE72EF8CC1,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/robust,M3-019,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-022,main,potsdam,fixed_late,fixed_average,base_clean,202,20211,20222,20233,20244,20255,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-022_potsdam_fixed_late_base_clean.yaml,1312F6A83285199903CF3D1F7698E63DEBAD8B52514D2BA71A1C68B24246EB93,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-023,main,potsdam,fixed_late,fixed_average,clean_continuation,202,20211,20222,20233,20244,20255,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-023_potsdam_fixed_late_clean_continuation.yaml,66A36A22706B8AFEF0E4D58F8C08232A8F4F23D3739A5555CA8653E8FA24B998,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/clean_continuation,M3-022,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-024,main,potsdam,fixed_late,fixed_average,robust,202,20211,20222,20233,20244,20255,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-024_potsdam_fixed_late_robust.yaml,CFD0C0FD400D2570B3F2ECD2F3A2479C6D48AF97D7560A351EB79E571F3A958A,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/robust,M3-022,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_202/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-025,main,potsdam,fixed_late,fixed_average,base_clean,303,30311,30322,30333,30344,30355,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-025_potsdam_fixed_late_base_clean.yaml,666108B55C4D37C82D01BFB3FBEF867041C679B686B85C41933AF192BE54800A,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-026,main,potsdam,fixed_late,fixed_average,clean_continuation,303,30311,30322,30333,30344,30355,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-026_potsdam_fixed_late_clean_continuation.yaml,ACBC8584FC683B8D8DBCCFAEE530821AE77E8027B0763A379EAC8B07D533F0DC,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/clean_continuation,M3-025,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-027,main,potsdam,fixed_late,fixed_average,robust,303,30311,30322,30333,30344,30355,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-027_potsdam_fixed_late_robust.yaml,47BA1781ADB72EF0F0EE36EC03787E38348221D26ECBB6BA91D67B1CD2CFD444,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/robust,M3-025,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_303/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-028,main,potsdam,qalf,dynamic_gated,base_clean,101,10111,10122,10133,10144,10155,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-028_potsdam_qalf_base_clean.yaml,A0ADA71140BAE58024A7C099E86D12093BECB8C950E74011D7EF9EA12E179487,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-029,main,potsdam,qalf,dynamic_gated,clean_continuation,101,10111,10122,10133,10144,10155,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-029_potsdam_qalf_clean_continuation.yaml,92CA2FBD0230B4A3B6ACC5AB27B68AE17B8CA9335CA1379CE4788CA263BDE8AF,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/clean_continuation,M3-028,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-030,main,potsdam,qalf,dynamic_gated,robust,101,10111,10122,10133,10144,10155,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-030_potsdam_qalf_robust.yaml,EDD463E1DF0391C688F8E0CD1CA56E62060837F20660E813AD64FBE2B16FF09F,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/robust,M3-028,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_101/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
